"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=Energetique-et-genie-des-procedes&cat=PLC98162CE2F1A6A60","https://i.ytimg.com/vi/DELluOwuwYY/hqdefault.jpg","32859","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][2]/div[@class='video'][4]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Centres-de-recherche-et-Instituts/Centre-des-materiaux-PM-FOURT-MAT/","https://www.minesparis.psl.eu/Donnees/data03/350-5.-MAT.JPG","89520","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=Energetique-et-genie-des-procedes&cat=PLC98162CE2F1A6A60","https://i.ytimg.com/vi/-g5YLBlTnUc/hqdefault.jpg","21992","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][1]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV//&?titre=&cat=PLULJFHqe2ObgdrafPUauGqvitsGPAKFPz","https://i.ytimg.com/vi/CAvJyVNZkVk/hqdefault.jpg","35531","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][6]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=formation&cat=PLULJFHqe2ObgdrafPUauGqvitsGPAKFPz","https://i.ytimg.com/vi/CAvJyVNZkVk/hqdefault.jpg","35531","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][6]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=mathematiques_systemes&cat=PL43EF59A41F938C77","https://i.ytimg.com/vi/92koAnknAFo/hqdefault.jpg","30438","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][2]/div[@class='video'][5]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV//&?titre=&cat=PL43EF59A41F938C77","https://i.ytimg.com/vi/92koAnknAFo/hqdefault.jpg","30438","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][2]/div[@class='video'][5]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Formation-continue/Mining-Professional-Training/","https://www.minesparis.psl.eu/Donnees/data07/763-IMG_8758-BDEF.jpg","170159","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=Energetique-et-genie-des-procedes&cat=PLC98162CE2F1A6A60","https://i.ytimg.com/vi/QZ7z3h3CIs4/hqdefault.jpg","29064","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][3]/div[@class='video'][6]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Entreprise/Soutenez-Mines-Paris-PSL/Devenez-acteurs-de-l-innovation/","https://www.minesparis.psl.eu/Donnees/data20/2021-visuel_campagne.jpg","121942","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Chaires-industrielles/Conduite-automatisee-Drive-for-All/","https://www.minesparis.psl.eu/Donnees/data25/2599-ITS-DRIVE4ALL-2.jpg","70181","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV//&?titre=&cat=PLAA0B96E4D5C29B2B","https://i.ytimg.com/vi/PbpTEpvk0oQ/hqdefault.jpg","25233","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][2]/div[@class='video'][1]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=science_genie_materiaux&cat=PLAA0B96E4D5C29B2B","https://i.ytimg.com/vi/PbpTEpvk0oQ/hqdefault.jpg","25233","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][2]/div[@class='video'][1]/div/img","Contenu","HTML"
