"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.minesparis.psl.eu/Presse/Communiques-de-presse/&?id=182","text/html; charset=iso-8859-1","200","OK","Indexable","","Communiques de presse - Mines Paris - PSL","41","395","","0","0","","0","0","","0","0","motscles43","10","Émeraudes, topazes roses et améthystes des Joyaux de la Couronne de France en exposition au Musée de Minéralogie MINES ParisTech","128","","0","rechercher un communiqué","24","webTV","5","","","","","","","","","","45926","1523","20.836","3","","2","1","0","0.110","168","119","0","29","23","0","","","","","2c81f0e5997a799d2c1da6bf7a13924d","0.736","","","","","1.1","https://www.minesparis.psl.eu/Presse/Communiques-de-presse/&?id=182","2022-10-25 07:29:16"
"https://www.minesparis.psl.eu/WebTV//&?titre=&cat=PLULJFHqe2ObgdrafPUauGqvitsGPAKFPz","text/html; charset=iso-8859-1","200","OK","Indexable","","Chaines WebTV - Mines Paris - PSL","33","315","","0","0","","0","0","","0","0","","0","","0","","0","Formation [55 vidéos]","21","Dernières vidéos","16","","","","","","","","","","46330","1036","14.295","2","","201","196","0","22.220","192","149","0","27","21","0","","","","","5cd15bd9220096af9eb40452af046d9d","0.152","","","","","1.1","https://www.minesparis.psl.eu/WebTV//&?titre=&cat=PLULJFHqe2ObgdrafPUauGqvitsGPAKFPz","2022-10-25 07:26:40"
"https://www.minesparis.psl.eu/WebTV/&?idv=xJFIcOaX6JE","text/html; charset=iso-8859-1","200","OK","Indexable","","Chaines WebTV - Mines Paris - PSL","33","315","","0","0","","0","0","","0","0","","0","","0","","0","Dernières vidéos","16","","0","","","","","","","","","","30658","700","13.768","3","","7","2","0","0.230","156","115","0","27","21","0","","","","","9bbdea9704cb4db9c568ae88be149000","0.177","","","","","1.1","https://www.minesparis.psl.eu/WebTV/&?idv=xJFIcOaX6JE","2022-10-25 07:29:16"
"https://www.minesparis.psl.eu/Presse/Communiques-de-presse/L-Observatoire-pour-l-innovation-responsable-think-tank-international-et-independant-de-MINES-ParisTech-vous-convie-a-la-conference-internationale-quot-Debattre-de-l-innovation-responsable-dans-les-energies-renouvelables-et-l-architecture-quot-vendredi-16-novembre-2012-de-9h-a-18h-a-MINES-ParisTech/78","text/html; charset=iso-8859-1","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","254","0","0.000","2","","1","1","0","0.110","0","0","0","0","0","0","","","","","","0.008","","https://www.minesparis.psl.eu/Presse/Communiques-de-presse/&?id=78","HTTP Redirect","","1.1","https://www.minesparis.psl.eu/Presse/Communiques-de-presse/L-Observatoire-pour-l-innovation-responsable-think-tank-international-et-independant-de-MINES-ParisTech-vous-convie-a-la-conference-internationale-quot-Debattre-de-l-innovation-responsable-dans-les-energies-renouvelables-et-l-architecture-quot-vendredi-16-novembre-2012-de-9h-a-18h-a-MINES-ParisTech/78","2022-10-25 07:26:40"
"https://www.minesparis.psl.eu/Presse/Communiques-de-presse/&?id=187","text/html; charset=iso-8859-1","200","OK","Indexable","","Communiques de presse - Mines Paris - PSL","41","395","","0","0","","0","0","","0","0","motscles43","10","MIG 2016 : découvrez le métier d'ingénieur généraliste","54","","0","rechercher un communiqué","24","webTV","5","","","","","","","","","","41749","1141","17.349","3","","2","1","0","0.110","168","119","0","28","22","0","","","","","aa9edef50afac63537d39583d43fea3f","0.679","","","","","1.1","https://www.minesparis.psl.eu/Presse/Communiques-de-presse/&?id=187","2022-10-25 07:29:16"
"https://www.minesparis.psl.eu/Donnees/data14/1492-LOGO_EXPLISEAT_BASELINE_NEG.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","231367","0","0.000","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.008","Fri, 22 Feb 2013 17:53:05 GMT","","","","1.1","https://www.minesparis.psl.eu/Donnees/data14/1492-LOGO_EXPLISEAT_BASELINE_NEG.jpg","2022-10-25 07:26:40"
"https://www.minesparis.psl.eu/Presse/Communiques-de-presse/www.paristech.fr","","0","Échec de la recherche DNS","Non-Indexable","No Response","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","4","","1","1","0","0.110","0","0","0","0","0","0","","","","","","","","","","","","https://www.minesparis.psl.eu/Presse/Communiques-de-presse/www.paristech.fr","2022-10-25 07:30:29"
"https://www.minesparis.psl.eu/Presse/Communiques-de-presse/&?id=199","text/html; charset=iso-8859-1","200","OK","Indexable","","Communiques de presse - Mines Paris - PSL","41","395","","0","0","","0","0","","0","0","motscles43","10","MINES ParisTech annonce la nomination de Sophie Leban en tant que responsable des programmes internationaux et coordinatrice du réseau européen Athens","150","","0","rechercher un communiqué","24","webTV","5","","","","","","","","","","45115","1469","21.286","3","","2","1","0","0.110","168","119","0","33","26","0","","","","","5fc067c6f14b8c8894f9988797973708","0.534","","","","","1.1","https://www.minesparis.psl.eu/Presse/Communiques-de-presse/&?id=199","2022-10-25 07:29:16"
"https://www.minesparis.psl.eu/Actualites/-W_AT_World-revele-ses-quot-40-in-their-40s-quot/3919","text/html; charset=iso-8859-1","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","238","0","0.000","3","","2","1","0","0.110","0","0","0","0","0","0","","","","","","0.008","","https://www.minesparis.psl.eu/Actualites/&?id=3919","HTTP Redirect","","1.1","https://www.minesparis.psl.eu/Actualites/-W_AT_World-revele-ses-quot-40-in-their-40s-quot/3919","2022-10-25 07:29:16"
"https://www.minesparis.psl.eu/Presse/Communiques-de-presse/MINES-ParisTech-partenaire-des-Entretiens-de-Toulouse/146","text/html; charset=iso-8859-1","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","255","0","0.000","2","","1","1","0","0.110","0","0","0","0","0","0","","","","","","0.034","","https://www.minesparis.psl.eu/Presse/Communiques-de-presse/&?id=146","HTTP Redirect","","1.1","https://www.minesparis.psl.eu/Presse/Communiques-de-presse/MINES-ParisTech-partenaire-des-Entretiens-de-Toulouse/146","2022-10-25 07:26:41"
